,Author,Genre,Topics,Book type,Publisher,Publication date,Publisher's recommended age(s),Number of pages,Available on,Last updated,Illustrator,Authors,Awards,Publishers,Award,Illustrators
0,CJ Omololu,Mystery,"Adventures, Brothers and Sisters, Friendship, High School",Fiction,Delacorte Press,"February 24, 2015",12 - 18,336,"Nook, Hardback, iBooks, Kindle","June 19, 2019",,,,,,
1,Beth Kephart,Coming of Age,"Friendship, History, Horses and Farm Animals",Fiction,Philomel,"July 19, 2012",14 - 17,304,"Nook, Hardback, iBooks, Kindle","May 06, 2019",,,,,,
2,Soman Chainani,Fairy Tale,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Adventures, Fairy Tales, Misfits and Underdogs",Fiction,HarperCollins Children's Books,"May 14, 2013",8 - 17,496,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","October 18, 2017",Iacopo Bruno,,,,,
3,Kami Garcia,Science Fiction,"Magic and Fantasy, Adventures, Great Boy Role Models, High School, Space and Aliens",Fiction,Imprint,"January 3, 2017",14 - 18,320,"Nook, Audiobook (abridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
4,Tonya Bolden,Historical Fiction,"Friendship, History",Fiction,Bloomsbury Children's Books,"May 30, 2017",,240,"Nook, Audiobook (unabridged), Hardback, Kindle","January 18, 2019",,,,,,
5,Matthew Swanson,Humor,"Adventures, Brothers and Sisters, Friendship, Great Girl Role Models",Fiction,Imprint,"November 7, 2017",8 - 12,336,"Nook, Hardback, iBooks, Kindle","March 21, 2019",Robbi Behr,,,,,
6,,School,,Fiction,HarperTeen,"August 27, 2007",12 - 14,288,,"July 12, 2017",,"Hobson Brown, Caroline Says, Taylor Materne",,,,
7,Molly Idle,Picture Book,"Arts and Dance, Friendship, Great Girl Role Models",Fiction,Chronicle Books,"March 5, 2013",4 - 6,44,"Hardback, Kindle","July 13, 2017",Molly Idle,,"ALA Best and Notable Books, Caldecott Medal and Honors",,,
8,Jonathan Bean,For Beginning Readers,"Adventures, Science and Nature",Fiction,"Farrar, Straus and Giroux","September 24, 2013",3 - 6,32,"Nook, Hardback, iBooks, Kindle","June 20, 2019",Jonathan Bean,,,,,
9,Madonna,Friendship,,Fiction,Callaway,"October 24, 2006",7,64,,"July 12, 2017",Stacy Peterson,,,,,
10,Matt Tavares,Holiday,"Magic and Fantasy, Great Girl Role Models, Holidays, Wild Animals",Fiction,Candlewick,"December 6, 2019",4 - 8,40,"Nook, Audiobook (unabridged), Hardback, Kindle","February 26, 2020",Matt Tavares,,,,,
11,Pam Munoz Ryan,Adventure,,Fiction,Hyperion Books for Children,"January 1, 1999",4 - 7,40,,"July 12, 2017",Brian Selznick,,,,,
12,Jennifer A. Nielsen,Fantasy,"Magic and Fantasy, Adventures",Fiction,Scholastic Press,"April 1, 2012",8 - 12,342,,"February 10, 2020",,,,,,
13,Victoria Schwab,Fantasy,"Magic and Fantasy, Misfits and Underdogs, Monsters, Ghosts, and Vampires",Fiction,Greenwillow,"June 13, 2017",,510,"Nook, Hardback, iBooks, Kindle","June 19, 2019",,,,,,
14,Amy Reed,Coming of Age,,Fiction,Simon Pulse,"July 19, 2011",,288,,"June 19, 2019",,,,,,
15,Patricia C. McKissack,Picture Book,"Great Boy Role Models, Great Girl Role Models, History",Fiction,Schwartz & Wade,"December 20, 2019",4 - 8,40,"Nook, Hardback, iBooks, Kindle","February 26, 2020",April Harrison,,"ALA Best and Notable Books, Coretta Scott King Medal and Honors",,,
16,Vashti Harrison,Picture Book,"Sports and Martial Arts, Arts and Dance, Great Girl Role Models, History",Non-Fiction,,"December 5, 2017",8 - 12,96,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","October 17, 2018",Vashti Harrison,,,"Little, Little, Brown Books for Young Readers",,
17,Lauren DeStefano,Contemporary Fiction,"Brothers and Sisters, Friendship",Fiction,Simon & Schuster Books for Young Readers,"March 10, 2015",12 - 18,320,"Nook, Hardback, iBooks, Kindle","June 19, 2019",,,,,,
18,Soman Chainani,Fairy Tale,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Fairy Tales, Friendship, Misfits and Underdogs",Fiction,HarperCollins Children's Books,"April 15, 2014",8 - 12,448,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
19,Peter Jay Black,Adventure,"Adventures, Friendship, Misfits and Underdogs, Science and Nature",Fiction,Bloomsbury USA,"October 7, 2014",9 - 11,288,"Paperback, Nook, Hardback, Kindle","June 19, 2019",,,,,,
20,Lloyd Alexander,Fairy Tale,,Fiction,"Henry Holt & Company, Inc.","May 22, 2005",10 - 14,211,,"July 12, 2017",William Sokol,,,,,
21,Kevin Henkes,School,,Fiction,William Morrow,"January 1, 1999",4 - 7,30,,"July 12, 2017",Kevin Henkes,,,,,
22,Clive Barker,Fantasy,Magic and Fantasy,Fiction,HarperCollins Children's Books,"February 15, 2004",,414,,"July 15, 2015",Clive Barker,,,,,
23,Emma Trevayne,Fantasy,"Magic and Fantasy, Adventures, Misfits and Underdogs",Fiction,Simon & Schuster Books for Young Readers,"May 13, 2014",8 - 12,320,"Nook, Hardback, iBooks, Kindle","December 14, 2018",Glenn Thomas,,,,,
