title,f_name,url
Joshua Dread,joshua-dread,https://www.commonsensemedia.org/book-reviews/joshua-dread
Abe Lincoln's Dream,abe-lincolns-dream,https://www.commonsensemedia.org/book-reviews/abe-lincolns-dream
Teeth,teeth,https://www.commonsensemedia.org/book-reviews/teeth
Nancy Clancy: Secret Admirer,nancy-clancy-secret-admirer,https://www.commonsensemedia.org/book-reviews/nancy-clancy-secret-admirer
On the Road to Mr. Mineo's,on-the-road-to-mr-mineos,https://www.commonsensemedia.org/book-reviews/on-the-road-to-mr-mineos
Not Exactly a Love Story,not-exactly-a-love-story,https://www.commonsensemedia.org/book-reviews/not-exactly-a-love-story
On the Road,on-the-road,https://www.commonsensemedia.org/book-reviews/on-the-road
Summer of the Mariposas,summer-of-the-mariposas,https://www.commonsensemedia.org/book-reviews/summer-of-the-mariposas
The Shadow Society,the-shadow-society,https://www.commonsensemedia.org/book-reviews/the-shadow-society
Warriors Series,warriors-series,https://www.commonsensemedia.org/book-reviews/warriors-series
Return to the Willows,return-to-the-willows,https://www.commonsensemedia.org/book-reviews/return-to-the-willows
A Prayer for Owen Meany,a-prayer-for-owen-meany,https://www.commonsensemedia.org/book-reviews/a-prayer-for-owen-meany
Elemental,elemental,https://www.commonsensemedia.org/book-reviews/elemental
Mary Poppins,mary-poppins,https://www.commonsensemedia.org/book-reviews/mary-poppins
Magic Tree House Series,magic-tree-house-series,https://www.commonsensemedia.org/book-reviews/magic-tree-house-series
Struck by Lightning: The Carson Phillips Journal,struck-by-lightning-the-carson-phillips-journal,https://www.commonsensemedia.org/book-reviews/struck-by-lightning-the-carson-phillips-journal
"The Expeditioners and the Treasure of Drowned Man's Canyon: The Expeditioners, Book 1",the-expeditioners-and-the-treasure-of-drowned-mans-canyon-the-expeditioners-book-1,https://www.commonsensemedia.org/book-reviews/the-expeditioners-and-the-treasure-of-drowned-mans-canyon-the-expeditioners-book-1
Little Cub,little-cub,https://www.commonsensemedia.org/book-reviews/little-cub
The Kite Runner,the-kite-runner,https://www.commonsensemedia.org/book-reviews/the-kite-runner
The Bully Book: A Novel,the-bully-book-a-novel,https://www.commonsensemedia.org/book-reviews/the-bully-book-a-novel
"Wither: The Chemical Garden Trilogy, Book 1",wither-the-chemical-garden-trilogy-book-1,https://www.commonsensemedia.org/book-reviews/wither-the-chemical-garden-trilogy-book-1
Inside Out and Back Again,inside-out-and-back-again,https://www.commonsensemedia.org/book-reviews/inside-out-and-back-again
